category,name,variant,adj-1,adj-2,adj-3,description,image_url,feelings-1-name,feelings-1-percent,feelings-2-name,feelings-2-percent,feelings-3-name,feelings-3-percent,feelings-4-name,feelings-4-percent,feelings-5-name,feelings-5-percent,helps-with-1-name,helps-with-1-percent,helps-with-2-name,helps-with-2-percent,helps-with-3-name,helps-with-3-percent,helps-with-4-name,helps-with-4-percent,helps-with-5-name,helps-with-5-percent,negatives-1-name,negatives-1-percent,negatives-2-name,negatives-2-percent,negatives-3-name,negatives-3-percent,negatives-4-name,negatives-4-percent,negatives-5-name,negatives-5-percent
Sativa,Sour Diesel,Energetic,Peppery,Citrus,Herbal,"Sour Diesel, sometimes called Sour D, is an invigorating sativa-dominant strain named after its pungent, diesel-like aroma. This fast-acting strain delivers energizing, dreamy cerebral effects that have pushed Sour Diesel to its legendary status. Stress, pain, and depression fade away in long-lasting relief that makes Sour Diesel a top choice among medical patients. This strain took root in the early '90s, and it is believed to have descended from Chemdog 91 and Super Skunk.",null,Happy,62%,Uplifted,54%,Euphoric,53%,Energetic,50%,Creative,43%,Stress,37%,Depression,28%,Anxiety,28%,Pain,23%,Fatigue,13%,Dry mouth,34%,Dry eyes,19%,Paranoid,10%,Dizzy,8%,Anxious,5%
Sativa,Jack Herer,Energetic,Fruity,Peppery,Herbal,"Jack Herer is a sativa-dominant cannabis strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both cerebral elevation and heavy resin production. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative.",null,Happy,56%,Uplifted,53%,Energetic,48%,Euphoric,48%,Creative,44%,Stress,36%,Depression,29%,Anxiety,28%,Pain,21%,Fatigue,15%,Dry mouth,26%,Dry eyes,16%,Paranoid,6%,Dizzy,6%,Anxious,4%
Sativa,Green Crack,Energetic,Herbal,Peppery,Citrus,"Don’t let the name fool you: this is pure cannabis. Few strains compare to Green Crack’s sharp energy and focus as it induces an invigorating mental buzz that keeps you going throughout the day. With a tangy, fruity flavor redolent of mango, Green Crack is a great daytime strain that may help consumers fight fatigue, stress, and depression. Because its name perpetuates a negative image of cannabis, some people have taken to calling this strain Cush (with a ‘C’) or Green Cush instead.",null,Energetic,63%,Happy,57%,Uplifted,55%,Euphoric,46%,Focused,42%,Stress,36%,Depression,28%,Anxiety,28%,Pain,19%,Fatigue,18%,Dry mouth,28%,Dry eyes,16%,Paranoid,9%,Anxious,7%,Dizzy,6%
Sativa,Durban Poison,Energetic,Fruity,Herbal,Minty,"This pure sativa originates from the South African port city of Durban. It has gained popularity worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity. Growers and concentrate enthusiasts will both enjoy the over-sized resin glands which make this strain a quality choice for concentrate extraction. The buds are round and chunky, and leave a thick coating of trichomes on almost all areas of the plant.",null,Energetic,58%,Uplifted,57%,Happy,51%,Euphoric,46%,Creative,42%,Stress,30%,Depression,26%,Anxiety,22%,Pain,18%,Fatigue,15%,Dry mouth,22%,Dry eyes,12%,Anxious,6%,Paranoid,6%,Dizzy,5%
Sativa,Strawberry Cough,Energetic,Herbal,Pine,Peppery,"Known for its sweet smell of fresh strawberries and an expanding sensation that can make even the most seasoned consumer cough, Strawberry Cough is a potent strain with mysterious genetic origins. The skunky, berry flavors will capture your senses while the cerebral, uplifting effects provide an aura of euphoria that is sure to leave a smile on your face. Strawberry Cough is a great solution in times of elevated stress.",null,Happy,56%,Uplifted,51%,Euphoric,48%,Energetic,39%,Relaxed,38%,Stress,35%,Anxiety,30%,Depression,26%,Pain,19%,Fatigue,11%,Dry mouth,25%,Dry eyes,14%,Dizzy,6%,Paranoid,5%,Anxious,3%
Sativa,Super Lemon Haze,Energetic,Fruity,Peppery,Herbal,"A sativa-dominant hybrid of Lemon Skunk and Super Silver Haze and two time Cannabis Cup winner from Green House Seeds. Super Lemon Haze is a kief-caked multi-colored wonder. As the name states this strain has real lemony characteristics. The smell is zesty, citrusy, and a little sweet. As for the taste, it's everything one would expect from the namesake; tart and sweet like lemonheads candy - not quite as sharp as one might expect. The effects are uniquely energetic and lively, may not be the best strain for those of us that are naturally wound-up tight.",null,Happy,56%,Energetic,55%,Uplifted,54%,Euphoric,50%,Creative,41%,Stress,34%,Depression,27%,Anxiety,25%,Pain,17%,Fatigue,15%,Dry mouth,28%,Dry eyes,17%,Paranoid,7%,Anxious,6%,Dizzy,6%
Sativa,Amnesia Haze,Giggly,Herbal,Peppery,Citrus,"With earthy flavors of lemons and citrus, Amnesia Haze is a perfect strain to start your day with a smile. The uplifting, energetic buzz is one you won’t soon forget. Its genetics have been traced back to the South Asian and Jamaican landrace strains, and this Cannabis Cup winner (1st place 2004, 1st place Sativa Cup 2012) has since been popularized in the coffee shops of Amsterdam.",null,Happy,69%,Euphoric,63%,Uplifted,58%,Energetic,45%,Creative,44%,Stress,36%,Depression,30%,Anxiety,25%,Pain,22%,Fatigue,13%,Dry mouth,42%,Dry eyes,22%,Paranoid,15%,Dizzy,12%,Anxious,6%
Sativa,Super Silver Haze,Energetic,Herbal,Peppery,Citrus,"Super Silver Haze, bred by Green House Seeds, was the first prize winner at the High Times Cannabis Cup in 1997, 1998, and 1999. Crossing genetics of Skunk, Northern Lights, and Haze creates a beautiful, sticky sativa that boasts an energetic, long-lasting body high. The uplifting effects are a great for high stress levels or when suffering from a lack of appetite or nausea.",null,Happy,60%,Uplifted,60%,Euphoric,56%,Energetic,51%,Creative,44%,Stress,38%,Anxiety,29%,Depression,28%,Pain,22%,Fatigue,15%,Dry mouth,30%,Dry eyes,18%,Dizzy,9%,Paranoid,8%,Anxious,4%
Sativa,Lemon Haze,Talkative,Fruity,Peppery,Minty,"Lemon Haze has been characterized as smelling of fresh peeled lemon slices with a similar taste. Its buds appear to be green and yellow with amber hairs on the trichomes, giving it the yellow tint. ",null,Happy,67%,Uplifted,54%,Euphoric,53%,Energetic,46%,Relaxed,43%,Stress,33%,Depression,26%,Anxiety,24%,Pain,18%,Fatigue,11%,Dry mouth,37%,Dry eyes,18%,Dizzy,10%,Paranoid,9%,Anxious,5%
Sativa,Maui Wowie,Energetic,Herbal,Pine,Peppery,"Maui Wowie (not Maui Waui) is a classic sativa whose tropical flavors and stress-relieving qualities will float you straight to the shores of Hawaii where this strain originally comes from. Since its beginnings in the island’s volcanic soil, Maui Wowie has spread across the world to bless us with its sweet pineapple flavors and high-energy euphoria. Lightweight effects allow your mind to drift away to creative escapes, while Maui Wowie’s motivating, active effects may be all you need to get outside and enjoy the sun. This tall, lanky strain is best suited for cultivation in warm, tropical climates that mirror its homeland, but a bright environment and nutrient-rich soil are typically adequate for indoor growing.  ",null,Happy,63%,Uplifted,56%,Euphoric,49%,Energetic,45%,Creative,39%,Stress,37%,Anxiety,29%,Depression,27%,Pain,21%,Fatigue,15%,Dry mouth,26%,Dry eyes,15%,Dizzy,5%,Paranoid,4%,Anxious,3%
Sativa,Tangie,Energetic,Herbal,Pine,Peppery,"Tangie is another fantastic offering from DNA Genetics in Amsterdam that has quickly gained popularity in its home and is spreading elsewhere. This strain is a remake of sorts of the popular version of Tangerine Dream that was sought-after in the 1990s. The genetics on this strain are a cross of California Orange and a Skunk hybrid, and its citrus heritage is the most evident in its refreshing tangerine aroma. As a plant, Tangie grows best outside, producing sticky buds that provide euphoric yet relaxed effects.",null,Happy,51%,Uplifted,47%,Energetic,41%,Euphoric,39%,Creative,35%,Stress,24%,Depression,23%,Anxiety,19%,Fatigue,13%,Pain,13%,Dry mouth,16%,Dry eyes,7%,Anxious,5%,Dizzy,3%,Paranoid,2%
Sativa,Candyland,Talkative,Peppery,Citrus,Hoppy,"Candyland, a gold medalist of the 2012 KushCon, is a sativa-dominant hybrid bred from Granddaddy Purple and Bay Platinum Cookies. Golden hairs weave through Candyland’s thick coat of sugar-like trichomes and highlight the compact, camouflage-colored buds. This strain grows well indoors and out, and patients turn to Candyland when trying to moderate pain, muscle tension, and sour moods. Candyland offers uplifting and stimulating effects, making it a perfect strain for social gatherings or creative pastimes.",null,Happy,63%,Uplifted,54%,Euphoric,51%,Relaxed,47%,Energetic,44%,Stress,30%,Depression,28%,Anxiety,21%,Pain,19%,Fatigue,16%,Dry mouth,21%,Dry eyes,13%,Anxious,5%,Dizzy,4%,Paranoid,3%
Sativa,White Buffalo,Energetic,Peppery,Herbal,Citrus,"White Buffalo is an 80/20 sativa-dominant cannabis strain that descends from a Romulan and a Blackberry Kush/Bay 11 hybrid. Like the sacred animal of Native American tradition, this White Buffalo is a cherished rarity that may only seldom migrate to your stash jar. Sweetly sour in flavor and covered in a snowy coat of crystal trichomes, White Buffalo provides a powerful blast of euphoria that may surprise any consumer expecting an active and uplifting experience.",null,Euphoric,59%,Happy,55%,Uplifted,53%,Energetic,46%,Relaxed,45%,Stress,27%,Depression,24%,Anxiety,23%,Fatigue,15%,Pain,15%,Dry mouth,19%,Dry eyes,9%,Anxious,7%,Dizzy,3%,Headache,3%
Sativa,Alaskan Thunder Fuck,Energetic,Peppery,Herbal,Citrus,"Alaskan Thunder Fuck (also referred to as ATF, Matanuska Thunder Fuck or Matanuska Tundra) is a legendary sativa-dominant strain originating in the Matanuska Valley area of Alaska.  According to the legend, it was originally a Northern California sativa crossed with a Russian ruderalis, but sometime in the late 70s it was crossed with Afghani genetics to make it heartier.  ATF usually presents large, beautifully frosted buds with incredibly strong odors of pine, lemon, menthol, and skunk.  Known for possessing a relaxing yet intensely euphoric high, it is also described as having a “creeper” effect as well as pronounced appetite enhancement.",null,Happy,58%,Euphoric,55%,Uplifted,51%,Energetic,44%,Creative,37%,Stress,38%,Anxiety,29%,Depression,28%,Pain,25%,Fatigue,13%,Dry mouth,34%,Dry eyes,18%,Dizzy,8%,Paranoid,7%,Headache,4%
Sativa,Ghost Train Haze,Energetic,Fruity,Herbal,Citrus,"First bred by Rare Dankness, Ghost Train Haze is a sativa cross of Ghost OG and Neville’s Wreck. Unlike typical sativas, Ghost Train Haze grows dense buds blanketed in white, crystal-capped trichomes. With a sour citrus and floral aroma, Ghost Train Haze delivers a potent dose of THC to knock out pain, depression, and appetite loss, but patients prone to anxiety should steer clear of this heavy-hitter. Low doses are conducive to concentration and creativity, but you may notice some cerebral haziness as you smoke more. Ghost Train Haze is a suitable outdoor strain for warm climates and has a 65 to 80 day flowering time indoors.",null,Happy,56%,Uplifted,52%,Euphoric,49%,Energetic,49%,Focused,38%,Stress,27%,Depression,27%,Pain,19%,Anxiety,17%,Fatigue,14%,Dry mouth,20%,Dry eyes,11%,Anxious,9%,Dizzy,7%,Paranoid,6%
Sativa,Tropicana Cookies,Aroused,Peppery,Citrus,Hoppy,"Tropicana Cookies is a sativa marijuana strain that provides a cereberal and focused high. Bred by Oni Seed Co, Tropicana Cookies crosses GSC and Tangie. The result is an infusion of citrus notes backed up by a smooth cookies flavor. This strain produces purple buds that have hints of dark green with orange hairs. ",null,Happy,54%,Uplifted,45%,Energetic,39%,Euphoric,37%,Creative,34%,Depression,20%,Stress,17%,Anxiety,13%,Pain,10%,Nausea,8%,Dry mouth,17%,Anxious,7%,Dry eyes,6%,Paranoid,6%,Dizzy,3%
Sativa,Clementine,Energetic,Fruity,Minty,Peppery,Clementine is a energizing sativa-dominant strain that is made by crossing Tangie with Lemon Skunk. This strain is loved for its sweet taste and citrus aroma. Leafly users say Clementine is perfect for a wake and bake or activating your third eye to increase your focus. Clementine has won awards including the best sativa concentrate in 2015.,null,Happy,53%,Uplifted,44%,Energetic,39%,Euphoric,33%,Relaxed,32%,Stress,27%,Depression,23%,Anxiety,20%,Pain,15%,Fatigue,12%,Dry mouth,12%,Dry eyes,6%,Anxious,3%,Paranoid,3%,Dizzy,2%
Sativa,Sour Tangie,Energetic,Herbal,Pine,Peppery,"DNA Genetics’ Sour Tangie is an 80% sativa cross between East Coast Sour Diesel and Tangie. Sour Tangie brings together the classic Sour Diesel aroma with Tangie’s creative, elevating buzz and strong citrus overtones. This sativa has two different phenotypes that express either Sour Diesel or Tangie bud structures and effects. Sour Tangie grows quickly in its vegetative cycle and finishes flowering in 9 to 10 weeks indoors.",null,Happy,56%,Uplifted,54%,Energetic,44%,Euphoric,44%,Creative,37%,Depression,32%,Stress,31%,Anxiety,19%,Fatigue,19%,Pain,15%,Dry mouth,18%,Dry eyes,9%,Anxious,5%,Dizzy,4%,Headache,3%
Sativa,Lemon Cake,Uplifted,Herbal,Citrus,Floral,"Lemon Cake by Heavyweight Seeds is a potent sativa-dominant strain with sweet and musky aromas. Also known as Lemon Pound Cake and Lemon Cheesecake, Lemon Cake is a cross of Lemon Skunk and a “dangerously powerful Cheese,” according to Heavyweight. With a 9-10 week flowering time, squat morphology, and abundant yield, Lemon Cake is kind to growers, especially those outdoors. This strain emits a pungent citrus aroma with a musky Cheese undertone. Heavyweight Seeds recommends consuming this strain to combat stress, loss of appetite, and minor physical discomfort.",null,Happy,49%,Uplifted,46%,Relaxed,37%,Euphoric,33%,Energetic,33%,Stress,21%,Anxiety,16%,Depression,16%,Fatigue,14%,Pain,14%,Dry mouth,22%,Dizzy,12%,Dry eyes,11%,Paranoid,5%,Anxious,3%
Sativa,Harlequin,Focused,Herbal,Pine,Peppery,"Harlequin is a 75/25 sativa-dominant strain renowned for its reliable expression of CBD. A descendant of Colombian Gold, a Nepali indica, and Thai and Swiss landrace strains, you can depend on Harlequin to provide clear-headed, alert sativa effects. Harlequin's high levels of CBD make this strain one of the most effective out there for treatment of pain and anxiety, as CBD can counteract THC’s paranoia while amplifying its painkilling properties. Flavors can range from earthy musk to sweet mango, but without a doubt, what draws crowds to Harlequin is its ability to relax without sedation and to relieve without intoxication.",null,Relaxed,56%,Happy,45%,Uplifted,43%,Focused,38%,Energetic,28%,Pain,45%,Stress,38%,Anxiety,37%,Depression,25%,Inflammation,20%,Dry mouth,18%,Dry eyes,10%,Anxious,4%,Dizzy,3%,Headache,3%
Sativa,Silver Haze,Talkative,Herbal,Peppery,Citrus,"Silver Haze delivers the full-strength Haze experience in a fatter, faster, more compact form. Crossing Haze with Northern Lights, Silver Haze maintains strong but clear-headed effects. Introduced by Sensi Seeds, Silver Haze gets its name from the massive amount of shiny THC glands covering the buds. ",null,Happy,64%,Uplifted,54%,Euphoric,51%,Relaxed,41%,Energetic,39%,Stress,34%,Depression,25%,Anxiety,22%,Pain,20%,Lack of appetite,10%,Dry mouth,38%,Dry eyes,21%,Dizzy,10%,Paranoid,9%,Headache,8%
Sativa,Amnesia,Giggly,Fruity,Peppery,Herbal,"Amnesia is typically a sativa-dominant cannabis strain with some variation between breeders. Skunk, Cinderella 99, and Jack Herer are some of Amnesia’s genetic forerunners, passing on uplifting, creative, and euphoric effects ideal for treating mood disorders. Growers should expect a 9-10 week flowering period with moderate yields. This strain normally has a high THC and low CBD profile and produces intense psychotropic effects that new consumers should be wary of.",null,Happy,62%,Euphoric,49%,Relaxed,49%,Uplifted,44%,Energetic,39%,Stress,25%,Depression,21%,Pain,16%,Anxiety,14%,Fatigue,9%,Dry mouth,37%,Dry eyes,19%,Paranoid,11%,Dizzy,10%,Anxious,10%
Sativa,Chocolope,Energetic,Herbal,Citrus,Peppery,"DNA Genetics developed Chocolope by crossing Chocolate Thai with Cannalope Haze to create their homage to the Chocolate strains of the 1980s. The hefty sativa buds give earthy, sweet coffee flavors that provide a dreamy, cerebral effect. Consumers report a strong, euphoric mental shift that is great when coping with depression or stress.",null,Happy,62%,Uplifted,60%,Euphoric,50%,Energetic,49%,Creative,39%,Stress,43%,Depression,33%,Anxiety,29%,Pain,19%,Fatigue,16%,Dry mouth,24%,Dry eyes,15%,Dizzy,5%,Paranoid,4%,Anxious,4%
